orchard,local diversity,year,region,day,apisAb,wildAbF,wildRichF,solitaryAbF,solitaryRichF,socialAbF,socialRichF,temp,bloom.index,lat,long,eiqB11,eiqB11.np,eiqB11.fun,eiqB11.ins,eiqB11.ins.np,eiqB11F.pre,eiqB11F.blm,eiqB11F.pos,eiqB11I.pre,eiqB11I.blm,eiqB11I.pos,eiqB11I.pos.np,eiqB11T.blm,eiqB11T.pos,size,hive.acr,X2000nat
A,1,3,S,1,3.333333333,12.66666,8,8.666666667,4.666666667,4,3.333333333,23.13333333,46.66666667,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
A,1,3,S,2,0.666666667,3.333333333,2,2.333333333,1,0.333333333,0.333333333,16,12.5,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
A,1,4,S,1,5.5,1,1,1,1,0,0,18.88888889,7.5,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
A,1,4,S,2,4.75,2.5,2.25,0.75,0.75,1.75,1.5,17.77777778,22.91666668,42.606647,-76.499462,259.064,259.064,215.66,43.35,43.35,143.09,58.1,14.48,0,19.04,24.31,24.31,0.044,0,5.2,0,0.321252059
B,1,3,LO,1,7.166666667,7.333333333,4.5,6.833333333,4,0.5,0.5,18.68333333,75.83333333,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0.17,0.489363226
B,1,3,LO,2,12.16666667,16.66666667,9.5,14.5,7.666666667,2.166666667,1.833333333,27.86666667,6.666666668,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0.17,0.489363226
B,1,4,LO,1,7,12,6,12,6,0,0,21,37.5,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0,0.489363226
B,1,4,LO,2,9,3,1.5,3,1.5,0,0,21.11111111,66.5,43.210033,-76.985768,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,10,0,0.489363226
C,0,4,LO,1,5,7,5.5,5.5,4.5,1.5,1,29.44444444,62.5,43.141205,-77.00617,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,50,0.16,0.554130544
C,0,4,LO,2,6.5,16,10,14,8,2,2,24.44444444,87.5,43.141205,-77.00617,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,50,0.16,0.554130544
D,0,3,LO,1,4.333333333,1.5,1.5,0.833333333,0.833333333,0.666666667,0.666666667,19.51666667,87.5,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
D,0,3,LO,2,9.166666667,6,4.333333333,4.833333333,3.333333333,1,0.833333333,23,18.75,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
D,0,4,LO,1,14.5,1.5,1.5,0.5,0.5,1,1,20,87.5,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
D,0,4,LO,2,23,11,4.5,10,3.5,1,1,25.66666667,99.16666667,43.215188,-77.018801,313.12,263.24,246.1,67.03,17.15,161.57,53.16,31.37,0,9.36,57.66,7.78,0,0,125,0.18,0.485777746
E,1,3,S,1,1.166666667,10.33333333,5,10.16666667,4.833333333,0.166666667,0.166666667,24.13333333,55.41666667,42.444969,-76.461382,142.716,142.716,119.5,23.88,23.88,41.85,44.67,32.29,0,14.25,9.63,9.63,0.026,0,18,0.22,0.275657094
E,1,4,S,1,7.5,7,2,7,2,0,0,21.11111111,54.16666666,42.444969,-76.461382,142.716,142.716,119.5,23.88,23.88,41.85,44.67,32.29,0,14.25,9.63,9.63,0.026,0,18,0.22,0.275657094
